tetra,vertex,x,y,z
1,1,20.7048,20.5046,21.1877
1,2,21.1877,20.9456,20.6516
1,3,21.1877,19.9476,21.1877
1,4,20.3776,20.0442,20.1707
2,1,19.8805,20.408,19.7675
2,2,18.8246,21.1543,19.5995
2,3,20.0582,21.178,19.4506
2,4,19.1344,20.3113,19.1415
3,1,20.3353,20.1051,20.0786
3,2,20.2224,21.1546,20.5983
3,3,20.142,19.8781,20.8517
3,4,20.9989,20.7321,20.5106
4,1,18.8123,19.6639,20.2987
4,2,19.519,19.9755,20.5045
4,3,19.4194,19.1352,19.9053
4,4,19.5843,20.3733,19.5312
5,1,20.8427,19.5431,20.5605
5,2,19.8889,18.8123,20.1092
5,3,20.8046,19.1423,19.7257
5,4,20.2971,19.6124,19.3783
6,1,18.8228,21.1877,21.1877
6,2,19.9091,20.4667,21.1877
6,3,19.6734,20.8049,20.2768
6,4,19.8993,21.1877,21.1877
7,1,20.9989,20.7321,20.5106
7,2,20.9939,20.8062,21.1877
7,3,20.2224,21.1546,20.5983
7,4,20.142,19.8781,20.8517
8,1,21.1262,19.6874,19.7107
8,2,20.1327,20.0031,18.9738
8,3,20.8442,20.3731,19.5092
8,4,20.0285,19.9416,20.0891
9,1,21.1877,21.1877,19.7628
9,2,20.2633,20.4527,19.9454
9,3,21.1877,20.4624,20.4037
9,4,21.1877,20.378,19.4237
10,1,19.7656,20.0011,20.5597
10,2,19.9164,18.8667,19.9348
10,3,19.56,18.8123,21.054
10,4,20.0749,19.1717,21.1877
11,1,20.2562,18.8123,19.5947
11,2,20.5203,18.8123,18.8123
11,3,20.1485,19.694,19.293
11,4,19.4954,18.8123,18.8123
12,1,18.8123,20.5678,21.1877
12,2,19.9091,20.4667,21.1877
12,3,19.1217,20.482,20.1495
12,4,18.8228,21.1877,21.1877
13,1,19.7841,21.1877,18.8123
13,2,20.2248,19.9616,18.8602
13,3,19.4504,20.1797,18.8123
13,4,20.0688,20.9522,19.6613
14,1,21.1877,19.6543,20.4707
14,2,20.3776,20.0442,20.1707
14,3,21.1877,19.9476,21.1877
14,4,21.1877,20.9456,20.6515
15,1,19.6208,21.1877,19.7483
15,2,18.8123,21.1877,20.3842
15,3,19.0371,20.0724,20.088
15,4,18.8123,21.1631,19.5975
16,1,21.1877,18.8123,21.1877
16,2,20.5193,18.8123,21.1877
16,3,21.1877,19.7379,20.6752
16,4,20.5665,18.8123,20.045
17,1,19.7549,20.0519,20.5558
17,2,18.8123,19.7258,20.3375
17,3,18.8123,19.4141,21.1877
17,4,19.0919,19.1052,19.9523
18,1,20.177,21.1877,19.7271
18,2,19.7841,21.1877,18.8123
18,3,20.2627,20.0914,19.2101
18,4,20.4891,21.1877,18.8123
19,1,21.1877,21.1877,18.8123
19,2,20.0231,20.6016,18.8123
19,3,21.1877,20.4206,18.8123
19,4,20.9675,20.1752,19.6037
20,1,20.871,19.5645,20.5744
20,2,20.5363,19.8685,19.3534
20,3,19.915,18.9078,19.9788
20,4,20.1556,19.8112,20.1143
21,1,19.915,18.9078,19.9788
21,2,19.9335,19.9976,19.3
21,3,20.0437,19.9113,20.4211
21,4,20.5363,19.8685,19.3534
22,1,18.8123,21.1877,19.6176
22,2,18.8123,21.1877,18.8123
22,3,18.8123,20.1985,18.8123
22,4,19.6999,20.3829,19.1034
23,1,19.3467,18.9873,19.8608
23,2,20.0476,19.9082,20.4613
23,3,19.933,19.998,19.2952
23,4,19.9076,18.8706,19.9371
24,1,20.8827,19.1889,19.7445
24,2,20.5203,18.8123,18.8123
24,3,20.2562,18.8123,19.5947
24,4,20.1122,19.9912,19.1913
25,1,18.8123,19.9857,21.1877
25,2,19.0889,19.9531,20.0426
25,3,19.928,19.9488,21.0405
25,4,18.8123,19.4141,21.1877
26,1,19.2125,18.8123,20.4049
26,2,19.559,18.8123,21.057
26,3,19.9125,18.8523,19.9453
26,4,19.7762,19.9819,20.5235
27,1,19.6285,18.8123,21.1877
27,2,19.8617,19.586,21.1877
27,3,19.2498,19.3174,20.0682
27,4,18.8123,18.8123,21.1877
28,1,21.0669,20.2448,19.5521
28,2,21.1877,20.4206,18.8123
28,3,21.1877,19.5287,18.8123
28,4,20.1162,19.746,18.8123
29,1,19.9382,19.9516,21.1877
29,2,18.8123,20.5678,21.1877
29,3,19.8049,20.4536,20.7763
29,4,19.2062,19.9509,20.1087
30,1,18.8123,19.8328,20.1108
30,2,18.8123,20.5678,21.1877
30,3,18.8123,20.5103,20.1452
30,4,19.8162,20.4404,20.5548
31,1,18.8123,20.1985,18.8123
31,2,18.8123,19.9849,19.42
31,3,19.7501,20.4267,19.6889
31,4,18.8123,21.1631,19.5975
32,1,20.0518,20.9151,20.5036
32,2,18.9399,20.3117,20.1877
32,3,19.6117,21.1458,19.79
32,4,19.7724,20.2434,19.7216
33,1,20.0944,19.1106,20.3422
33,2,20.5193,18.8123,21.1877
33,3,20.5665,18.8123,20.045
33,4,21.1877,19.7379,20.6752
34,1,20.1693,19.6114,18.9675
34,2,21.1877,19.5287,18.8123
34,3,21.1877,18.8123,18.8123
34,4,21.1877,19.5924,19.7814
35,1,20.4518,19.7394,19.3588
35,2,21.1877,19.6299,19.8279
35,3,21.1877,18.8123,18.8123
35,4,21.1482,18.8123,19.9549
36,1,19.6734,20.8049,20.2768
36,2,19.1217,20.482,20.1495
36,3,18.8228,21.1877,21.1877
36,4,19.9091,20.4667,21.1877
37,1,19.6457,20.8864,19.7772
37,2,18.8123,19.9675,20.1176
37,3,18.8123,21.1631,19.5975
37,4,18.8123,19.9514,19.415
38,1,21.029,21.1875,19.9029
38,2,19.9414,20.5064,19.6721
38,3,20.1564,21.1877,20.6734
38,4,20.2418,20.2284,20.1102
39,1,20.8937,21.134,19.8522
39,2,21.1495,20.3683,19.419
39,3,20.0284,20.1656,19.9682
39,4,19.8921,20.7088,19.4735
40,1,19.5226,20.2036,19.5233
40,2,19.4011,19.0588,19.9075
40,3,20.1021,19.9797,20.508
40,4,19.9385,20.0242,19.2152
41,1,20.3085,20.2508,19.2462
41,2,20.4891,21.1877,18.8123
41,3,20.946,21.1877,19.8911
41,4,21.1877,21.1329,18.8604
42,1,18.8123,19.0123,19.7075
42,2,19.8899,18.8123,19.9436
42,3,18.8123,18.8123,20.6776
42,4,19.8481,19.4336,20.239
43,1,20.2009,19.8123,20.0544
43,2,21.1877,19.7282,19.736
43,3,21.1877,19.5165,20.4514
43,4,21.1877,20.4782,20.5861
44,1,20.2105,19.8053,18.8123
44,2,20.9675,20.1752,19.6037
44,3,21.1877,20.4206,18.8123
44,4,20.0231,20.6016,18.8123
45,1,20.8709,19.5644,20.5743
45,2,19.9149,18.9075,19.9787
45,3,20.1952,19.9597,20.1366
45,4,20.0043,19.2399,20.8896
46,1,20.9457,21.1873,19.8908
46,2,20.3082,20.2504,19.2459
46,3,20.177,21.1877,19.7271
46,4,20.4891,21.1877,18.8123
47,1,19.9311,18.8123,20.0619
47,2,20.2116,19.7814,19.3377
47,3,19.5018,18.8123,18.8308
47,4,20.418,18.8123,19.7585
48,1,19.4178,19.1411,19.9055
48,2,18.8123,19.0277,19.0993
48,3,18.8123,19.6,20.2709
48,4,19.5292,19.9641,19.6554
49,1,21.024,21.1877,19.9077
49,2,19.9431,20.5013,19.6617
49,3,20.056,21.1877,19.7013
49,4,20.0529,21.1877,20.7648
50,1,19.9244,19.8286,18.8123
50,2,18.8123,19.1481,18.8123
50,3,19.4846,18.8123,18.8123
50,4,19.4775,19.8002,19.6631
51,1,21.0176,18.987,21.1877
51,2,20.8292,20.2771,21.1877
51,3,21.1877,19.6585,20.7341
51,4,20.1341,19.633,20.4791
52,1,19.7549,20.0519,20.5558
52,2,19.2617,19.3147,20.0377
52,3,18.8123,19.4141,21.1877
52,4,19.8912,19.5848,21.1471
53,1,19.0046,18.8123,19.8313
53,2,19.6765,19.5626,19.5438
53,3,19.5031,18.8123,18.8203
53,4,18.8123,19.1481,18.8123
54,1,18.8123,19.1481,18.8123
54,2,18.8123,19.9857,19.4176
54,3,19.9244,19.8286,18.8123
54,4,18.8123,20.1985,18.8123
55,1,18.8123,21.1877,20.3842
55,2,19.9805,21.1877,20.603
55,3,19.0343,20.4303,20.1285
55,4,19.6329,21.1877,19.7388
56,1,19.9734,20.9902,19.4424
56,2,19.3932,20.0072,18.8123
56,3,19.7841,21.1877,18.8123
56,4,18.8401,21.1877,18.8286
57,1,21.1877,21.1877,20.7758
57,2,21.1877,20.4624,20.4037
57,3,20.2253,20.4804,20.2529
57,4,21.1877,21.1877,19.7628
58,1,19.007,19.6484,20.0004
58,2,18.8125,19.9649,19.4024
58,3,19.7758,19.857,18.9682
58,4,18.8123,19.1481,18.8123
59,1,18.8123,19.9857,21.1877
59,2,19.2062,19.9509,20.1087
59,3,19.9382,19.9516,21.1877
59,4,18.8123,20.5678,21.1877
60,1,21.1261,21.1877,21.1829
60,2,20.5838,20.3173,21.059
60,3,20.0267,21.0238,20.5014
60,4,19.8993,21.1877,21.1877
61,1,19.5361,20.1113,20.5266
61,2,20.1374,19.9184,20.5917
61,3,19.5753,20.3055,19.5522
61,4,19.4116,19.076,19.9148
62,1,21.1877,18.8123,18.8123
62,2,20.5203,18.8123,18.8123
62,3,21.1482,18.8123,19.9549
62,4,20.4518,19.7394,19.3588
63,1,19.8992,18.8123,19.9703
63,2,19.6058,19.7933,19.4061
63,3,20.2115,19.7798,19.3398
63,4,19.501,18.8199,18.8165
64,1,20.2161,21.0545,20.6182
64,2,20.1409,19.8617,20.8549
64,3,20.3353,20.1065,20.0783
64,4,19.5893,20.2471,19.8088
65,1,21.1877,21.1329,18.8604
65,2,20.946,21.1877,19.8911
65,3,21.1877,20.4546,19.4557
65,4,20.3085,20.2508,19.2462
66,1,19.9373,21.1877,19.4712
66,2,18.8123,21.1877,19.6176
66,3,19.6729,20.4074,19.119
66,4,18.8123,21.1877,18.8123
67,1,18.8123,21.1788,21.1818
67,2,18.8123,21.1877,20.3842
67,3,19.9805,21.1877,20.603
67,4,19.0268,20.4321,20.1346
68,1,21.1877,20.387,19.5274
68,2,21.1877,19.7282,19.736
68,3,21.1877,20.4782,20.5861
68,4,20.2009,19.8123,20.0544
69,1,19.5002,18.8123,18.8262
69,2,19.6758,19.5594,19.5407
69,3,19.0041,18.8123,19.8323
69,4,19.8899,18.8123,19.9436
70,1,20.0693,19.9858,20.0954
70,2,20.0926,19.9524,18.8123
70,3,19.3613,20.2683,19.3771
