tetra,vertex,x,y,z
1,1,19.2435,19.7987,18.9685
1,2,19.6852,20.2004,18.76
1,3,18.777,19.9078,19.5904
1,4,19.9698,20.1244,19.9516
2,1,20.5535,20.5594,19.4638
2,2,21.0796,20.3872,20.6012
2,3,20.4422,21.2143,19.9177
2,4,21.1152,20.2754,19.4024
3,1,19.3022,18.9471,19.7147
3,2,20.0281,19.6874,20.1042
3,3,19.0369,19.4065,19.3704
3,4,18.893,20.1422,19.7807
4,1,20.0233,19.7165,20.5025
4,2,20.4937,20.8359,20.857
4,3,19.3162,20.7581,20.4917
4,4,20.3303,20.1733,20.9709
5,1,19.4766,19.0998,19.8038
5,2,19.7012,20.1817,20.4164
5,3,18.7412,20.1259,19.7237
5,4,18.8495,19.419,19.8751
6,1,20.7827,19.2572,20.7158
6,2,20.3408,18.8287,19.6107
6,3,20.2015,18.9961,20.7928
6,4,20.9595,19.7861,20.1591
7,1,19.6001,19.0134,19.2628
7,2,20.3514,19.7662,19.8334
7,3,19.8337,20.0596,18.7172
7,4,20.1143,19.2301,18.9651
8,1,19.8404,20.1147,20.011
8,2,20.372,21.0748,19.382
8,3,20.2806,20.5103,18.8931
8,4,20.6082,20.8013,20.0796
9,1,20.3202,20.6263,18.9128
9,2,20.1408,20.6766,19.6842
9,3,19.8752,20.2127,20.0223
9,4,19.1291,20.2305,19.0699
10,1,19.9727,18.9723,20.1982
10,2,20.3306,18.813,19.6018
10,3,20.9499,19.7737,20.1437
10,4,20.226,19.042,20.8414
11,1,18.8712,19.3815,19.8585
11,2,19.9619,18.9099,20.2919
11,3,19.6933,20.1417,20.3941
11,4,19.33,18.9337,20.3014
12,1,19.5873,19.1341,19.9011
12,2,19.8742,20.1831,20.5471
12,3,19.9992,19.699,20.0959
12,4,18.8664,20.1668,19.7828
13,1,19.9769,20.0253,20.0347
13,2,18.7506,20.3335,20.0667
13,3,19.1457,20.9643,19.8691
13,4,19.6359,21.2315,20.1663
14,1,21.2353,20.2821,20.2668
14,2,21.1544,20.2054,19.5986
14,3,20.1474,19.652,20.1275
14,4,20.7775,20.5512,20.7555
15,1,19.4505,19.0559,20.6954
15,2,18.7586,19.6425,20.0887
15,3,19.399,20.311,20.5468
15,4,19.4572,19.7152,21.1406
16,1,20.2297,20.4283,18.8712
16,2,20.5831,20.917,19.2958
16,3,20.4321,19.7619,18.8027
16,4,20.4433,19.8643,19.983
17,1,19.468,19.0585,19.7804
17,2,18.8712,19.3815,19.8585
17,3,19.9617,18.9094,20.2917
17,4,19.6935,20.1413,20.3941
18,1,19.3246,20.6531,20.521
18,2,19.9086,19.6254,20.9714
18,3,19.903,20.8898,20.9357
18,4,20.5302,20.7245,20.897
19,1,21.2114,20.2901,19.6684
19,2,20.2164,19.5095,19.6973
19,3,20.8229,20.3915,20.3713
19,4,20.9059,20.2699,19.1149
20,1,19.3611,19.0341,20.3091
20,2,19.608,20.2709,20.4055
20,3,20.1172,19.2581,20.318
20,4,20.295,19.5967,20.9503
21,1,19.4229,19.7302,20.6156
21,2,20.1389,20.6465,21.1133
21,3,19.54,19.9248,21.2081
21,4,19.3764,20.9926,20.5502
22,1,20.2229,20.833,20.966
22,2,19.7278,20.7221,19.8074
22,3,19.6413,21.2291,20.1934
22,4,20.8001,21.0011,20.1855
23,1,19.9962,19.1199,19.0501
23,2,20.3004,19.738,20.111
23,3,19.7335,18.7669,19.7079
23,4,20.6487,19.368,19.0745
24,1,21.2092,20.0647,20.4308
24,2,20.151,19.3762,20.3516
24,3,20.7558,20.2656,21.0173
24,4,21.0759,20.0502,19.8127
25,1,20.1369,19.7895,19.9725
25,2,19.1577,19.1235,19.5538
25,3,19.5916,20.0977,18.8736
25,4,19.4459,19.4398,18.9724
26,1,19.7752,20.2115,19.9606
26,2,20.038,19.6494,20.0833
26,3,19.1052,19.3364,19.3399
26,4,19.0177,20.3949,20.0267
27,1,19.4117,19.4656,21.0223
27,2,20.1074,20.5181,20.9322
27,3,19.7015,20.1525,21.2508
27,4,20.6453,19.3732,20.9315
28,1,20.9886,20.1012,19.9401
28,2,20.5664,19.2223,19.1344
28,3,20.0599,19.3166,20.2896
28,4,20.7074,19.9109,19.3799
29,1,19.8755,20.2126,20.0207
29,2,19.7543,20.1948,18.7617
29,3,20.3202,20.6263,18.9128
29,4,19.1291,20.2305,19.0699
30,1,20.9888,20.1011,19.9396
30,2,20.5669,19.2223,19.1336
30,3,20.4371,18.9871,19.7062
30,4,20.0602,19.3165,20.2888
31,1,20.3437,20.0852,19.8724
31,2,19.8654,19.9021,18.7158
31,3,20.2186,20.4207,18.795
31,4,20.1555,19.1763,19.013
32,1,18.7629,19.9155,19.6267
32,2,19.9444,20.1166,19.9314
32,3,19.1911,19.2972,19.3304
32,4,19.3876,19.7909,18.8784
33,1,20.6234,19.3558,19.6106
33,2,20.5573,18.9271,20.4638
33,3,21.1879,19.6402,19.6309
33,4,21.1628,20.0308,20.5344
34,1,20.5245,19.1551,19.1706
34,2,19.8918,18.7218,20.1766
34,3,19.8582,18.7944,19.5492
34,4,20.2596,19.7809,20.2317
35,1,19.0419,19.2075,20.0368
35,2,19.7226,20.1644,20.507
35,3,18.7344,20.0339,19.7282
35,4,18.7994,20.4366,20.2116
36,1,21.2096,20.0828,20.4547
36,2,20.234,19.3619,20.2667
36,3,20.4351,20.1856,21.2054
36,4,20.642,19.4338,20.9716
37,1,20.4539,20.3589,21.1584
37,2,20.3755,20.7066,20.636
37,3,20.6057,20.5576,19.9185
37,4,19.9384,19.5619,20.3224
38,1,18.9444,19.9612,19.4189
38,2,19.8759,20.6839,19.8772
38,3,19.3456,20.422,18.9654
38,4,18.7427,20.3017,20.0709
39,1,20.1632,20.8765,19.9525
39,2,19.4387,20.4579,19.0039
39,3,19.0203,20.8335,19.851
39,4,19.9978,20.8795,19.0496
40,1,20.1676,19.7563,19.9262
40,2,20.0079,19.8705,20.5274
40,3,19.9179,20.1852,19.3211
40,4,20.6687,20.8553,20.0875
41,1,18.7751,19.9074,19.5902
41,2,19.9757,20.1292,19.921
41,3,19.6254,20.1857,18.7745
41,4,19.1596,20.2595,19.9482
42,1,19.7546,21.2509,20.2273
42,2,20.2658,20.9253,20.0468
42,3,19.9819,20.8783,19.0487
42,4,19.0321,20.8324,19.7833
43,1,19.4946,19.0583,20.7311
43,2,19.0699,19.2062,20.0473
43,3,19.7245,20.1837,20.5119
43,4,18.7236,19.7855,20.0405
44,1,20.7602,19.4616,20.8995
44,2,19.8036,18.7897,20.4164
44,3,19.8115,19.2493,21.0381
44,4,20.469,19.4212,19.9712
45,1,19.9179,20.1852,19.3211
45,2,20.6687,20.8553,20.0875
45,3,20.166,19.7504,19.927
45,4,20.2891,20.5179,18.929
46,1,19.7029,20.1728,19.9104
46,2,20.7454,20.7565,20.3255
46,3,20.4154,21.215,19.8325
46,4,20.189,21.0159,19.2196
47,1,20.056,20.5191,18.815
47,2,19.8701,20.6366,20.0603
47,3,19.1787,20.2487,19.0746
47,4,20.1867,21.0023,19.2016
48,1,20.0774,19.2364,20.2282
48,2,20.518,20.1079,21.0322
48,3,21.0095,20.0118,19.8706
48,4,20.0019,19.7502,20.5892
49,1,20.3404,19.9996,20.4451
49,2,20.9649,20.5785,20.5259
49,3,20.3331,19.679,19.9
49,4,20.4794,20.633,19.3591
50,1,19.9696,19.9977,20.0316
50,2,19.0426,20.7835,20.3825
50,3,19.6416,21.2121,20.1642
50,4,18.7476,20.3226,20.0655
51,1,20.961,20.5789,20.5167
51,2,20.6459,20.6143,19.7593
51,3,20.5803,20.5461,21.0207
51,4,20.0403,19.7177,20.4144
52,1,20.2645,19.9445,19.6275
52,2,19.9636,18.9133,20.2954
52,3,20.1074,19.5566,20.3074
52,4,19.25,19.2118,19.4438
53,1,19.8599,19.7844,20.0733
53,2,20.2739,20.7766,20.7397
53,3,19.0565,20.7037,20.404
53,4,20.1164,20.0395,20.5921
54,1,20.4084,20.0194,18.7713
54,2,20.7146,19.0843,19.4276
54,3,20.9694,20.0106,19.905
54,4,21.0811,20.2925,19.3499
55,1,19.0131,20.7352,20.3931
55,2,20.0097,20.3893,20.0244
55,3,20.1548,20.9092,20.909
55,4,19.6295,21.2292,20.1689
56,1,18.9969,20.7184,20.3932
56,2,20.0177,20.399,20.0418
56,3,19.8084,19.8029,20.0714
56,4,20.2113,20.7997,20.7378
57,1,19.5404,19.8079,21.1953
57,2,18.8325,20.4337,20.3544
57,3,19.3872,20.909,20.5919
57,4,18.8848,19.8509,20.1144
58,1,20.3802,19.8026,19.8486
58,2,19.5841,19.183,19.0855
58,3,19.7452,19.8579,18.7561
58,4,19.3669,19.0673,19.6681
59,1,19.6927,18.7476,20.1172
59,2,20.3468,19.7886,19.8923
59,3,20.0459,19.1939,18.9876
59,4,19.543,18.9988,19.3177
60,1,20.0252,19.9938,20.2408
60,2,19.9765,20.7893,19.7589
60,3,20.7934,20.9986,20.2237
60,4,20.4009,20.8824,20.8588
61,1,19.8284,19.3127,21.084
61,2,19.068,19.106,20.0945
61,3,19.7755,18.8858,20.6204
61,4,19.6906,20.1394,20.4744
62,1,18.8608,19.6286,20.1721
62,2,19.8416,19.5548,20.9674
62,3,19.4466,20.6829,20.5533
62,4,19.917,20.1444,20.6393
63,1,21.229,20.2713,20.258
63,2,20.4075,20.1818,21.2156
63,3,20.74,20.5999,20.8771
63,4,20.1414,19.6948,20.2272
64,1,19.7612,18.756,20.2686
64,2,19.5791,19.1797,19.0908
64,3,20.2781,19.7285,19.8304
64,4,19.2648,18.9932,19.65
65,1,20.4106,19.599,18.8392
65,2,20.4406,19.8444,19.9953
65,3,20.8809,20.3511,19.741
65,4,20.5454,20.6262,19.0065
66,1,19.5421,20.091,18.7922
66,2,19.446,19.4333,18.976
66,3,20.0908,19.7921,19.892
66,4,20.2192,20.4189,18.8008
