tetra,vertex,x,y,z
1,1,20.8671,21.2236,21.2237
1,2,19.7219,20.6005,21.2237
1,3,20.0951,20.6966,20.3533
1,4,19.5634,21.2237,21.2236
2,1,21.2236,21.2237,18.7763
2,2,20.0495,21.2237,18.7763
2,3,20.7418,21.2206,19.881
2,4,20.1768,20.6783,18.8386
3,1,20.2663,19.4835,20.1872
3,2,21.2237,19.8307,21.0013
3,3,20.7944,20.5723,20.2549
3,4,21.2237,20.1202,20.0551
4,1,19.3542,19.1034,19.4918
4,2,18.7764,19.1472,19.9861
4,3,19.1243,20.1531,19.9715
4,4,19.6985,19.7534,20.5682
5,1,19.878,20.6557,21.2237
5,2,21.0843,20.7149,21.2236
5,3,20.2543,20.1794,20.3726
5,4,20.0122,19.9735,21.2237
6,1,19.9148,20.4669,21.2236
6,2,19.4049,20.2851,20.25
6,3,19.075,19.4829,21.2234
6,4,19.7605,19.6749,20.6294
7,1,20.5542,18.7767,21.2236
7,2,20.8122,19.9832,21.2237
7,3,20.1584,20.0188,21.2237
7,4,20.3912,19.5105,20.3376
8,1,19.7021,21.2237,19.5969
8,2,19.7394,20.4849,19.53
8,3,19.9546,21.2237,20.5818
8,4,20.7502,21.2235,19.8943
9,1,20.0645,21.2237,18.8004
9,2,19.6926,21.2237,19.5942
9,3,20.7509,21.2236,19.8945
9,4,19.7432,20.4807,19.5305
10,1,19.5808,19.6423,20.5779
10,2,18.7763,19.0433,20.0173
10,3,18.7827,18.7778,21.1395
10,4,18.7763,19.538,21.2236
11,1,18.7763,20.588,21.2236
11,2,18.7763,20.6254,20.1107
11,3,19.8365,20.4528,20.6745
11,4,18.7763,20.0282,20.0464
12,1,19.8691,18.7763,20.0315
12,2,19.632,19.7017,20.5292
12,3,19.3736,18.7763,21.2237
12,4,20.0001,19.2213,21.2236
13,1,19.583,21.2236,19.828
13,2,19.1904,20.2207,19.0931
13,3,20.0786,21.1211,18.7763
13,4,19.4379,21.2237,18.7763
14,1,21.0788,20.263,19.6354
14,2,20.3097,20.1848,19.3022
14,3,20.381,20.9456,20.2485
14,4,21.2068,21.1127,19.4873
15,1,19.377,21.2236,20.4546
15,2,19.9152,20.0884,20.106
15,3,19.9957,21.2236,20.7422
15,4,19.7027,21.2237,19.5993
16,1,20.3867,20.8531,20.2487
16,2,21.072,20.219,19.6433
16,3,21.2237,20.3141,20.4021
16,4,21.2237,21.2236,19.4679
17,1,20.6027,20.5999,20.6759
17,2,19.6871,19.802,20.2019
17,3,20.6036,19.8252,19.8573
17,4,20.3466,20.9055,20.1059
18,1,20.1874,19.6194,19.7724
18,2,20.0103,18.7765,18.7936
18,3,19.3463,18.8025,19.2024
18,4,19.9253,18.7764,20.0946
19,1,21.2236,19.8633,18.7763
19,2,21.074,20.1968,19.6596
19,3,20.4066,19.5082,18.7763
19,4,20.1303,20.368,18.7764
20,1,19.273,18.7763,19.9237
20,2,18.7764,18.8138,20.9662
20,3,19.3736,18.7763,21.2236
20,4,19.6308,19.6985,20.5334
21,1,18.7763,20.0298,19.7203
21,2,19.397,20.1772,20.1905
21,3,18.7764,19.0437,20.0174
21,4,18.7763,20.0234,20.8774
22,1,18.7764,20.5278,19.5714
22,2,19.5641,21.2237,19.8151
22,3,19.2467,20.1866,19.2913
22,4,18.7763,21.2236,18.7764
23,1,20.2319,19.6405,20.2479
23,2,20.4593,19.8885,19.8157
23,3,19.1803,20.0685,19.9926
23,4,19.5849,19.0399,19.3531
24,1,20.2189,19.4486,20.1628
24,2,20.5018,18.7765,20.6731
24,3,21.2235,18.7764,20.325
24,4,21.2145,19.8662,20.7386
25,1,20.0838,20.023,21.2237
25,2,20.7693,20.5412,20.2436
25,3,20.9704,20.636,21.2237
25,4,21.2237,19.9973,21.2236
26,1,20.7693,20.5413,20.2431
26,2,21.1016,20.2954,20.6811
26,3,20.2668,19.4435,20.2055
26,4,20.0838,20.023,21.2236
27,1,18.7763,19.9886,21.2236
27,2,19.1689,19.5929,21.2236
27,3,19.3349,20.2604,20.116
27,4,19.9149,20.4672,21.2237
28,1,21.2237,18.7763,18.7764
28,2,20.1817,18.7764,19.4977
28,3,21.2236,19.4591,19.8827
28,4,20.851,19.5997,19.3746
29,1,21.2237,19.9053,20.7573
29,2,21.2236,18.7766,20.325
29,3,21.2236,20.0747,20.2036
29,4,20.211,19.455,20.1619
30,1,19.9057,18.7932,20.1266
