tetra,vertex,x,y,z
1,1,20.8805,20.3234,21.1083
1,2,20.3595,20.5011,20.2794
1,3,20.2675,21.1068,21.0761
1,4,19.8845,20.189,21.1083
2,1,19.3977,21.1083,18.9801
2,2,18.8917,21.1083,19.8372
2,3,19.722,20.5653,19.7611
2,4,18.8997,20.2911,19.2525
3,1,20.3671,19.7273,20.3446
3,2,20.3269,20.7226,20.2115
3,3,20.4973,20.128,19.4322
3,4,19.5976,20.1284,19.8578
4,1,20.5501,19.576,21.1083
4,2,19.6604,19.1085,21.1083
4,3,19.9704,19.5992,20.2999
4,4,19.7004,20.1127,21.1083
5,1,20.2813,21.1083,21.1083
5,2,21.1083,21.1083,20.5551
5,3,20.3453,20.5268,20.2912
5,4,20.8906,20.3091,21.1068
6,1,20.202,20.4705,20.2378
6,2,20.2684,19.5322,20.5916
6,3,19.654,20.1816,21.0291
6,4,20.6497,20.2922,21.1083
7,1,20.2841,19.2955,20.5603
7,2,21.1083,19.8529,20.5523
7,3,20.6122,19.7041,19.7027
7,4,21.1083,18.9412,20.1293
8,1,19.6425,21.1083,20.221
8,2,19.9909,20.1874,20.0774
8,3,19.9362,20.5703,21.005
8,4,20.6121,20.9279,20.3529
9,1,21.1083,20.14,18.8917
9,2,21.1083,21.0997,19.1899
9,3,21.1083,20.3616,19.8719
9,4,20.2999,20.5338,19.3176
10,1,18.9022,19.8868,18.8917
10,2,18.8939,19.3793,19.7591
10,3,18.8917,18.8917,18.8917
10,4,19.715,19.3706,19.1796
11,1,19.513,21.1083,19.5184
11,2,18.8917,20.6401,20.139
11,3,19.6934,21.1083,20.4969
11,4,19.8066,20.2599,19.9701
12,1,19.7466,18.8917,19.9847
12,2,18.9289,19.4055,20.2242
12,3,19.4295,18.8917,20.928
12,4,19.8335,19.7206,20.5282
13,1,18.9108,20.2062,20.2565
13,2,18.8917,20.3006,19.2561
13,3,19.717,20.5564,19.7694
13,4,18.8917,21.1083,19.8372
14,1,20.8229,21.1083,18.8917
14,2,20.3104,20.2523,19.0129
14,3,20.3207,20.9502,19.736
14,4,19.8179,21.1083,18.8917
15,1,19.8243,21.0696,19.2435
15,2,20.0387,20.2831,19.8311
15,3,20.5918,21.1083,19.8911
15,4,19.6425,21.1083,20.221
16,1,19.3266,19.4763,19.3041
16,2,19.0211,19.7057,20.2336
16,3,19.9015,20.0365,19.9087
16,4,19.764,19.0584,20.094
17,1,19.8133,19.6796,20.4543
17,2,19.0534,19.8628,21.086
17,3,19.1123,20.3633,20.2281
17,4,18.8917,19.3929,20.2124
18,1,19.778,19.9878,19.9336
18,2,19.3122,19.8916,20.8075
18,3,18.9692,20.5372,20.1179
18,4,19.8314,20.7263,20.5985
19,1,20.689,20.3755,19.0727
19,2,19.9882,20.0771,19.7285
19,3,20.8926,19.6621,19.7507
19,4,20.2682,19.4781,18.9849
20,1,18.8917,18.8917,20.4361
20,2,18.9967,19.7442,19.9339
20,3,19.7384,19.0662,19.9237
20,4,18.8917,18.8917,19.4311
21,1,19.8083,19.1071,18.928
21,2,19.8033,19.7232,19.722
21,3,20.2803,19.9936,18.8917
21,4,19.2859,19.9532,18.8917
22,1,18.8917,19.4095,19.704
22,2,19.735,19.9345,19.8564
22,3,18.8917,20.1929,20.3174
22,4,18.977,20.3254,19.3249
23,1,20.8334,19.5953,19.7055
23,2,21.1083,20.0975,18.8917
23,3,20.2438,19.5851,18.8917
23,4,21.1083,19.0926,18.8917
24,1,20.9926,18.8917,20.0955
24,2,20.0839,18.8917,19.6662
24,3,20.2401,19.3923,20.5118
24,4,20.638,19.7208,19.6519
25,1,20.3359,20.1041,20.388
25,2,20.5012,20.1576,19.3981
25,3,21.1083,20.6228,20.0346
25,4,21.1083,19.6187,19.9906
26,1,19.7055,20.2829,20.8314
26,2,18.8917,19.7812,21.1083
26,3,18.8917,20.2703,20.2418
26,4,18.8917,20.7862,21.1043
27,1,18.9516,19.3909,20.2494
27,2,19.0264,19.8876,21.1083
27,3,18.8917,18.8917,21.1083
27,4,19.7696,19.2901,20.8245
28,1,20.5574,19.0061,20.257
28,2,20.0547,18.8917,21.1083
28,3,21.0597,18.8917,21.1083
28,4,20.5472,19.7403,20.9432
29,1,20.5629,20.8043,20.3081
29,2,21.1083,20.0276,20.0085
29,3,21.1083,20.3056,20.9743
29,4,20.2999,19.8694,20.5666
30,1,19.1139,20.3249,19.7791
30,2,19.9437,20.6919,19.347
30,3,19.4216,19.9537,18.9084
30,4,19.9467,19.7812,19.7477
31,1,20.6304,19.7136,19.6346
31,2,19.7273,19.9712,19.9925
31,3,20.447,19.6741,20.612
31,4,20.0219,19.0104,19.9885
32,1,19.4251,21.1083,20.3315
32,2,19.7056,20.2763,20.8205
32,3,18.8917,20.7886,21.1083
32,4,18.8917,20.2727,20.2458
33,1,21.1083,18.8917,20.1502
33,2,21.0402,19.7974,19.7439
33,3,20.2754,19.1495,19.6708
33,4,21.1083,18.9895,19.15
34,1,19.8372,18.8917,19.715
34,2,19.517,18.8917,20.6676
34,3,19.9217,19.7178,20.2631
34,4,20.4909,18.9146,20.4651
35,1,20.5835,20.2508,19.9634
35,2,20.1736,21.1083,20.2577
35,3,21.1083,20.8787,20.5467
35,4,20.9294,21.1083,19.5953
36,1,19.6873,20.1862,20.9804
36,2,20.2996,19.5047,20.5673
36,3,20.2483,20.4379,20.1978
36,4,19.4909,19.8052,20.0714
37,1,18.896,19.4097,19.7059
37,2,19.7348,19.9391,19.8542
37,3,19.5299,19.5869,18.9464
37,4,18.9741,20.3246,19.3225
38,1,19.925,19.7761,19.7184
38,2,19.9749,20.721,19.3798
38,3,20.4369,19.9869,18.8917
38,4,19.4329,20.0297,18.8917
39,1,19.7888,20.8646,19.7487
39,2,19.3458,21.1083,18.8917
39,3,19.3044,20.1597,19.2209
39,4,20.1676,20.5298,18.8917
40,1,20.335,20.1335,19.0037
40,2,20.6973,20.5559,19.8405
40,3,19.9663,21.012,19.3233
40,4,19.7781,20.1751,19.8274
41,1,19.6139,20.8061,20.2999
41,2,19.1103,21.0948,21.1083
41,3,20.1153,21.0977,21.1083
41,4,19.6153,20.226,21.1083
42,1,20.0429,19.5492,18.9157
42,2,20.7499,19.6291,19.6255
42,3,20.8017,18.8917,18.959
42,4,20.0829,18.8917,19.6614
43,1,20.3288,19.4223,20.4523
43,2,21.1083,19.3746,21.0848
43,3,21.1083,20.0461,20.3371
43,4,20.4888,20.1531,21.1083
44,1,19.6219,19.745,19.354
44,2,19.1432,18.8917,19.5362
44,3,19.9143,18.902,18.8917
44,4,20.0835,19.0263,19.8643
45,1,20.0866,18.8917,19.6656
45,2,20.0387,19.5444,18.9161
45,3,19.8045,19.8276,19.8515
45,4,20.7535,19.6419,19.6158
