tetra,vertex,x,y,z
1,1,-0.0196056,-0.707538,-1.34233
1,2,-0.0507901,-0.142342,-2.16673
1,3,-0.470104,-1.05015,-2.16673
1,4,0.525432,-0.959291,-2.1421
2,1,-0.965229,-0.256293,-1.79546
2,2,-0.17389,-0.621781,-1.30533
2,3,-0.464626,-1.03829,-2.16673
2,4,-0.045289,-0.13043,-2.16673
3,1,0.0466838,-0.163724,0.709689
3,2,-0.197277,-1.13353,0.709689
3,3,0.204688,-0.719059,-0.106833
3,4,0.764539,-0.859818,0.709689
4,1,0.600545,-0.410888,-1.34174
4,2,0.54959,-1.01082,-2.14017
4,3,0.124597,-0.106071,-2.16673
4,4,1.12104,-0.190642,-2.16673
5,1,-0.734978,-0.480815,-0.985819
5,2,-0.474611,-1.03641,-0.19619
5,3,0.0409013,-0.208402,-0.416812
5,4,0.111307,-1.01316,-1.00624
6,1,-0.823772,-0.803247,-0.793998
6,2,-0.36184,-0.0832613,-1.31185
6,3,0.0623165,-0.98428,-1.22067
6,4,-0.752483,-0.870387,-1.78917
7,1,-0.892909,-0.725616,-0.941091
7,2,-0.192127,-0.0285677,-0.789229
7,3,-0.264511,-0.808553,-0.167646
7,4,-0.970075,-0.0999213,-0.164895
8,1,0.1786,-0.394221,-0.496952
8,2,0.126188,-0.211797,-1.4788
8,3,0.0503533,-1.14946,-1.13971
8,4,-0.6913,-0.498211,-0.97909
9,1,-1.14418,-0.121105,-2.06319
9,2,-1.1188,0.268507,-1.14259
9,3,-0.912992,-0.700179,-1.28135
9,4,-0.268823,-0.00230016,-1.59448
10,1,0.509831,-1.03144,-0.0815373
10,2,0.0316458,-0.216401,-0.40871
10,3,-0.484554,-1.04356,-0.186619
10,4,0.103459,-1.02316,-0.995218
11,1,0.0386241,-1.14992,-1.29984
11,2,0.111092,-0.235505,-1.698
11,3,0.542671,-1.01454,-2.15283
11,4,0.915384,-0.669062,-1.29158
12,1,-0.196571,0.437514,-0.823272
12,2,-0.578166,-0.457028,-1.05604
12,3,0.309065,-0.180456,-1.4253
12,4,0.216889,-0.39419,-0.452764
