tetra,vertex,x,y,z
1,1,0.0824695,0.617224,86.6247
1,2,0.500019,0.371144,87.3896
1,3,-0.425676,0.454497,87.1808
1,4,0.119233,-0.501219,86.5566
2,1,0.11924,-0.501228,86.5566
2,2,0.500021,0.371142,87.3896
2,3,-0.56388,-0.264209,87.3896
2,4,0.319276,-0.534631,87.3896
3,1,-0.622711,-0.000317241,85.8328
3,2,0.017342,-0.622472,85.8328
3,3,0.00527884,-0.622689,86.7207
3,4,0.621769,0.0343435,85.8328
4,1,0.500021,0.371142,87.3896
4,2,-0.425674,0.454499,87.1808
4,3,-0.56388,-0.264208,87.3896
4,4,0.119238,-0.501219,86.5566
5,1,-0.505406,-0.363776,87.3225
5,2,0.119238,-0.50122,86.5566
5,3,-0.425676,0.454496,87.1808
5,4,-0.605917,-0.143638,86.0809
6,1,-0.622711,-0.000316623,85.8328
6,2,0.119241,-0.501229,86.5566
6,3,-0.128878,0.609231,86.0955
6,4,0.621769,0.0343451,85.8328
7,1,0.220867,0.582225,86.884
7,2,0.108745,-0.613141,86.5227
7,3,0.605079,-0.147132,87.3896
7,4,0.622699,0.00372535,86.1339
8,1,0.11522,-0.488256,86.5512
8,2,0.131176,0.608736,86.5708
8,3,-0.425678,0.454495,87.1808
8,4,-0.349646,0.514809,85.9366
9,1,-0.34981,0.515141,85.9365
9,2,-0.605916,-0.143645,86.0809
9,3,0.115316,-0.488294,86.5504
9,4,-0.425679,0.454494,87.1808
10,1,0.291161,0.550448,86.782
10,2,0.119244,-0.501226,86.5566
10,3,0.621765,0.0344269,85.8328
10,4,-0.186838,0.59402,86.1513
