tetra,vertex,x,y,z
1,1,-0.00915105,-0.55525,3.44305
1,2,-0.506512,0.24956,3.1272
1,3,-0.564112,-0.0247339,4.08616
1,4,0.285336,0.361266,3.72498
2,1,-0.102964,-0.508761,3.37629
2,2,0.563835,0.0305046,3.88462
2,3,-0.170285,0.493437,3.39441
2,4,0.562587,0.0482699,2.88134
3,1,0.429073,0.045128,2.72747
3,2,-0.170447,0.495864,3.39445
3,3,-0.10319,-0.505423,3.37635
3,4,-0.564311,-0.0200242,2.64052
4,1,0.428539,-0.367676,4.3215
4,2,0.398979,0.390342,3.66492
4,3,0.149966,0.544379,4.61681
4,4,-0.454252,0.0106852,4.0319
5,1,-0.562564,-0.0375143,4.07849
5,2,0.290781,0.342196,3.71146
5,3,0.322223,-0.416066,4.36816
5,4,-0.00984704,-0.564569,3.43866
