tetra,vertex,x,y,z
1,1,20.4662,20.3894,21.3228
1,2,20.0872,21.3148,21.3228
1,3,19.4752,20.5238,21.3228
1,4,20.0095,20.7427,20.5065
2,1,21.3228,21.2002,19.1176
2,2,20.4848,20.8472,18.701
2,3,20.8376,20.4347,19.541
2,4,21.3228,20.3024,18.6772
3,1,19.7432,20.5094,20.2773
3,2,18.9719,20.6504,19.6568
3,3,19.1612,21.3164,20.3783
3,4,19.7778,21.2394,19.5947
4,1,18.6772,19.4772,20.4496
4,2,18.6772,19.9706,21.3194
4,3,18.6772,20.477,20.4568
4,4,19.4937,19.9748,20.7417
5,1,20.5102,20.3948,20.8179
5,2,19.753,19.8972,20.3947
5,3,19.6057,20.4039,21.2444
5,4,19.7599,20.897,20.3883
6,1,18.6772,19.6062,21.3228
6,2,18.6772,18.6772,20.9554
6,3,19.4937,19.2467,20.8698
6,4,18.6772,19.46,20.3329
7,1,21.3228,20.9229,21.058
7,2,21.299,19.959,21.3228
7,3,20.457,20.4985,21.3228
7,4,20.8916,20.2497,20.4571
8,1,19.6773,21.3228,18.684
8,2,18.6772,21.3228,18.6772
8,3,19.1751,20.5063,18.9692
8,4,19.1709,21.3228,19.5465
9,1,21.2141,21.3228,19.0874
9,2,20.4447,20.8333,18.6772
9,3,20.3224,21.3228,19.5403
9,4,20.8695,20.4861,19.5131
10,1,19.4923,19.2533,20.8641
10,2,19.2333,18.6772,20.0888
10,3,18.6772,18.6772,20.92
10,4,18.6824,19.4782,20.3217
11,1,19.5509,19.8726,20.8465
11,2,19.3296,20.7254,21.3205
11,3,18.845,20.4798,20.4806
11,4,18.6772,19.9682,21.3228
12,1,20.3086,19.1359,19.5154
12,2,19.6092,18.6772,18.9669
12,3,19.5421,18.6772,19.9647
12,4,19.3884,19.5225,19.4536
13,1,20.0503,20.8421,20.5453
13,2,19.8,19.8851,20.3982
13,3,20.5564,20.2894,19.8835
13,4,19.6152,20.5651,19.6886
14,1,20.5855,19.4356,18.6772
14,2,20.4803,20.1485,19.3705
14,3,21.2719,19.5379,19.3974
14,4,21.1966,20.2272,18.6772
15,1,18.6772,20.3318,21.3228
15,2,19.084,20.6252,20.4577
15,3,19.5334,20.8482,21.3228
15,4,18.6772,21.3003,21.0733
16,1,21.3228,20.8514,19.5449
16,2,21.3228,20.2845,20.3687
16,3,20.4569,20.5806,19.9653
16,4,21.02,19.8996,19.4968
17,1,19.8631,20.8648,20.4721
17,2,20.7517,21.3228,20.4589
17,3,20.637,20.4695,20.9673
17,4,20.2083,21.3104,21.2982
18,1,19.4973,18.9764,20.4909
18,2,19.4657,19.5425,21.3157
18,3,19.9662,18.6772,21.3228
18,4,18.9674,18.6772,21.2845
19,1,20.5549,19.549,18.9289
19,2,20.4061,19.426,19.9102
19,3,19.6693,19.7783,19.3331
19,4,20.469,20.3468,19.5255
20,1,19.5633,18.8945,20.5439
20,2,20.2666,19.5873,20.7067
20,3,19.4829,19.517,21.3228
20,4,20.1836,18.804,21.3228
21,1,19.4973,19.7474,19.8861
21,2,18.6772,20.2732,19.6604
21,3,18.6772,19.6605,20.4509
21,4,18.6894,19.2822,19.525
22,1,18.9854,20.6003,18.8166
22,2,19.5637,20.2029,19.5295
22,3,19.4071,19.7043,18.6772
22,4,19.9731,20.5283,18.6772
23,1,21.2932,19.959,19.6463
23,2,20.491,20.0231,20.24
23,3,21.2278,19.3849,20.4626
23,4,20.6331,19.2084,19.6782
24,1,20.5213,19.3104,19.7451
24,2,20.4533,19.7265,20.6519
24,3,20.4931,18.7313,20.56
24,4,21.3037,19.2839,20.3669
25,1,21.1181,21.2653,20.4277
25,2,20.4612,20.6439,20.0003
25,3,21.3228,20.8554,19.5389
25,4,21.3228,20.2887,20.3627
26,1,19.555,20.0559,19.8368
26,2,19.6793,19.8643,20.8104
26,3,18.8584,20.3408,20.4951
26,4,18.9835,19.3707,20.2878
27,1,19.5559,19.2125,20.8852
27,2,19.5571,18.7445,20.0017
27,3,18.7803,19.3176,20.2633
27,4,19.66,19.7387,20.0414
28,1,21.3228,19.9976,21.15
28,2,20.5065,19.455,20.9521
28,3,21.3228,19.0126,21.3228
28,4,21.3228,19.3551,20.3833
29,1,20.5356,20.2758,19.5319
29,2,21.3089,19.6417,19.523
29,3,20.5672,19.5352,18.8606
29,4,20.4091,19.3284,19.826
30,1,20.3079,18.6772,20.9523
30,2,21.1459,19.0792,21.3228
30,3,20.6606,19.5342,20.5756
30,4,21.1462,18.6772,20.4077
31,1,21.1158,21.3228,20.392
31,2,20.4674,21.2989,19.6309
31,3,20.1323,21.3228,20.5728
31,4,20.5759,20.4987,20.2209
32,1,19.6893,19.8263,18.6772
32,2,19.9561,19.3436,19.5114
32,3,18.9885,19.4477,19.281
32,4,19.5677,18.8358,18.7422
33,1,19.4536,19.2376,20.0655
33,2,18.6772,18.6772,19.778
33,3,19.52,18.6772,19.24
33,4,18.9325,19.4865,19.249
34,1,20.8403,18.6772,18.6772
34,2,20.3305,18.6772,19.5376
34,3,20.7288,19.5269,19.1925
34,4,21.3228,18.8029,19.5436
35,1,20.0427,19.486,19.2924
35,2,19.0657,19.577,19.4852
35,3,19.7375,19.9893,20.1006
35,4,19.6376,18.995,20.0636
